study_accession,Run,ScientificName,LIBRARYTYPE
PRJNA321151,SRR3493888,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493889,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493892,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493893,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493896,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493897,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493900,Saccharomyces cerevisiae,rnaseq
PRJNA321151,SRR3493901,Saccharomyces cerevisiae,rnaseq
