Sample,periodicity_autocorrelation,periodicity_fourier,periodicity_information,uniformity_autocorrelation,uniformity_entropy,uniformity_theil_index,uniformity_gini_index,ratio_cds:leader,ratio_cds:trailer,ratio_leader:trailer,prop_reads_CDS,prop_reads_leader,prop_reads_trailer,periodicity_trips-viz,periodicity_dominance
DRR277023,0.0,0.3808139854745119,0.3471066868615048,0.0,0.7045766278214642,0.0334998557884794,0.0,27.273013470561526,6.612725417807365,0.2424640542544056,0.8409518459488412,0.0309207162079944,0.1272857404137941,0.3636499721752128,0.5162578460521969
DRR277024,0.0,0.4026493846709894,0.3569514816311095,0.0,0.7048054518814277,0.0336505456048417,0.0,28.293230387837696,6.922652216331169,0.2446752145809049,0.8468037834545584,0.0300538597555062,0.1223344381144572,0.3899960585045753,0.5277010295659409
DRR277025,0.0,0.3075151531968291,0.193399375679857,0.0,0.7101236002658282,0.0323280322232032,0.0,10.510252125802978,8.870143463300597,0.8439515396137961,0.8271920401452729,0.0787084172518068,0.0932602604580049,0.268352311409086,0.4457876644420663
DRR277026,0.0,0.5627178031167004,0.2572679539542528,0.0,0.6995819135263904,0.032332251486864,0.0,8.434848256077306,9.54932751105275,1.1321279554937411,0.8167594587446289,0.0968389112691537,0.0855337394122001,0.2529073040945606,0.4637186422436682
DRR277027,0.0,0.3051554279000812,0.2290110731486867,0.0,0.7069614558937978,0.0317717279070798,0.0,25.60873380796994,8.601023729263877,0.3358629049667059,0.8649043651631875,0.0337738043453758,0.100558304730687,0.3076621344723823,0.4608770333254637
DRR277028,0.0,0.3909957743883639,0.3323352679333781,0.0,0.7059527225052483,0.0338960730663455,0.0,24.425073648253647,8.86684865155027,0.3630223916309147,0.8661193378888062,0.0354602549151671,0.0976806272358528,0.4479527495000823,0.5254338713381
DRR277031,0.0,0.2872602512494638,0.1785575922448387,0.0,0.7092061988562937,0.0318079201634212,0.0,18.776757824187666,7.868300951884209,0.4190447054575363,0.8464752856983309,0.0450810141784928,0.1075804409204285,0.221138009951671,0.4283276972904137
DRR277032,0.0,0.3615763441870695,0.2780079855406766,0.0,0.7065791481050469,0.0332285959886419,0.0,20.55858334298621,8.823487739096931,0.429187536509278,0.8599328135535735,0.0418284080769091,0.0974595124944987,0.4171774656293467,0.4975208629150786
DRR277035,0.0,0.2810073542825119,0.1945015468775973,0.0,0.7098752182627495,0.0316695958160738,0.0,21.631286663081134,8.101763755182349,0.3745391516173612,0.8541956738094827,0.0394888980537328,0.1054332981831382,0.2460156139463668,0.4374905772542578
DRR277036,0.0,0.3589135553050555,0.2865760173512406,0.0,0.7078163714393824,0.033309526577168,0.0,24.11318690668644,8.763212297906176,0.3634199134199134,0.8646331375234156,0.0358572734856402,0.0986662319855021,0.4160607550116714,0.5010715473783873
DRR277039,1.6249608904181092,0.2890459348476963,0.2272642323910178,0.9404001806041116,0.7094585820214658,0.0318513633207326,0.5193925233644859,24.23878266118978,8.44599871959027,0.3484497896469727,0.861557601184462,0.0355445903875344,0.1020077825948637,0.3230237644370229,0.4613610302119084
DRR277040,0.0,0.3847250434550828,0.3205790710227145,0.0,0.7072399058141459,0.0338948356565432,0.0,24.999107185372125,9.323375199229275,0.3729483269180396,0.8709954903708447,0.034841063879293,0.0934206198676683,0.4509153490497128,0.5246993352135375
DRR277043,0.0,0.3070626485435979,0.2384456794684972,0.0,0.7085250428943397,0.0319351134527319,0.0,24.444592101216887,8.845596534456721,0.3618631269374454,0.8659022508418871,0.0354230599249304,0.097890769431874,0.3246668212494854,0.4666727047814719
DRR277044,0.0,0.3729692216982021,0.3022595042936099,0.0,0.7071314591997101,0.0335940755459731,0.0,25.34182760535571,8.774761571067204,0.3462560675463184,0.8662724184885775,0.0341835021522086,0.0987231859774874,0.4381182950264037,0.5120635178084683
